time,x1,x2,x3,x4,x5,x1_mean,x1_flut,x2_mean,x2_flut,x3_mean,x3_flut,x4_mean,x4_flut,x5_mean,x5_flut
0.0,1.7336,0.8905,0.8424,1.0117,1.0538,11.644254089355522,0.019881884765700963,5.0942323852538784,-0.0600882202148566,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.027981860351571797,6.246980328369128,0.002693334960942595
0.0002,1.7225,0.8868,0.8432,1.0175,1.0538,11.644254089355522,0.008781884765700854,5.0942323852538784,-0.06378822021485653,6.150029809570259,-0.140708233642591,6.364531567382773,-0.02218186035157177,6.246980328369128,0.002693334960942595
0.0004,1.7336,0.8824,0.8424,1.024,1.0526,11.644254089355522,0.019881884765700963,5.0942323852538784,-0.0681882202148566,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.01568186035157182,6.246980328369128,0.001493334960942505
0.0006,1.7291,0.8801,0.8424,1.0329,1.052,11.644254089355522,0.015381884765701015,5.0942323852538784,-0.07048822021485657,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.006781860351571911,6.246980328369128,0.0008933349609425711
0.0008,1.7336,0.8748,0.8432,1.0353,1.0501,11.644254089355522,0.019881884765700963,5.0942323852538784,-0.07578822021485654,6.150029809570259,-0.140708233642591,6.364531567382773,-0.004381860351571731,6.246980328369128,-0.0010066650390574416
0.001,1.7403,0.8725,0.845,1.0401,1.0495,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.07808822021485651,6.150029809570259,-0.13890823364259097,6.364531567382773,0.0004181396484281841,6.246980328369128,-0.0016066650390573756
0.0012,1.7247,0.8678,0.8424,1.0431,1.0482,11.644254089355522,0.010981884765700833,5.0942323852538784,-0.08278822021485654,6.150029809570259,-0.1415082336425909,6.364531567382773,0.0034181396484280757,6.246980328369128,-0.0029066650390574544
0.0014,1.7358,0.8654,0.8424,1.0437,1.0482,11.644254089355522,0.022081884765700943,5.0942323852538784,-0.08518822021485661,6.150029809570259,-0.1415082336425909,6.364531567382773,0.004018139648428232,6.246980328369128,-0.0029066650390574544
0.0016,1.7247,0.8638,0.8432,1.0419,1.0464,11.644254089355522,0.010981884765700833,5.0942323852538784,-0.08678822021485655,6.150029809570259,-0.140708233642591,6.364531567382773,0.002218139648428208,6.246980328369128,-0.004706665039057478
0.0018,1.7313,0.8614,0.8424,1.0371,1.0476,11.644254089355522,0.017581884765700995,5.0942323852538784,-0.0891882202148565,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.0025818603515719296,6.246980328369128,-0.0035066650390573884
0.002,1.7291,0.8573,0.8432,1.0359,1.047,11.644254089355522,0.015381884765701015,5.0942323852538784,-0.09328822021485661,6.150029809570259,-0.140708233642591,6.364531567382773,-0.0037818603515717975,6.246980328369128,-0.004106665039057544
0.0022,1.7313,0.8549,0.8424,1.0317,1.0445,11.644254089355522,0.017581884765700995,5.0942323852538784,-0.09568822021485657,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.007981860351571779,6.246980328369128,-0.006606665039057491
0.0024,1.7313,0.8532,0.8406,1.0293,1.0403,11.644254089355522,0.017581884765700995,5.0942323852538784,-0.0973882202148566,6.150029809570259,-0.14330823364259093,6.364531567382773,-0.010381860351571737,6.246980328369128,-0.010806665039057473
0.0026,1.7269,0.8507,0.8467,1.0281,1.0336,11.644254089355522,0.013181884765701035,5.0942323852538784,-0.09988822021485655,6.150029809570259,-0.13720823364259094,6.364531567382773,-0.011581860351571827,6.246980328369128,-0.0175066650390574
0.0028,1.738,0.8499,0.8398,1.0287,1.0236,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.10068822021485657,6.150029809570259,-0.14410823364259095,6.364531567382773,-0.010981860351571893,6.246980328369128,-0.02750666503905741
0.003,1.7225,0.8448,0.8406,1.0269,1.0154,11.644254089355522,0.008781884765700854,5.0942323852538784,-0.10578822021485657,6.150029809570259,-0.14330823364259093,6.364531567382773,-0.012781860351571916,6.246980328369128,-0.035706665039057395
0.0032,1.7358,0.8507,0.8424,1.0269,1.0015,11.644254089355522,0.022081884765700943,5.0942323852538784,-0.09988822021485655,6.150029809570259,-0.1415082336425909,6.364531567382773,-0.012781860351571916,6.246980328369128,-0.04960666503905742
